City,Livability_Score,Listing_Type,Price,Sq_Ft,Beds,Baths,Estimated_monthly_payment,Crime,Employment,Housing,Schools,User_Ratings,Address_Line_1,Agent_Name,Agent_Company,Airports,Colleges,Military_Bases,Shopping_Centers,Parks_and_Recreation,Utilities,Kitchen_Features,HOA,Parking,Garage,Pool,Laundry,Pets_Allowed,State,Zipcode
Burlingame,81,Condo ,1595000.0,1865.0,2,2,7533,D,A,B,A,A+,1133 Douglas Ave 101,Jim Arbeed,Coldwell Banker Realty,1,2,1,1,5,4,0,No,Yes,Yes,No,No,No,CA,94010
San Jose,67,Townhouse ,1945500.0,2923.0,3,4,9188,D,C+,C-,D,C+,5971 Drytown Pl,Jonathan Minerick,HOMECOIN.COM,1,2,1,3,2,2,17,Yes,Yes,Yes,Yes,Yes,Yes,CA,95120
San Jose,67,House ,1450000.0,1848.0,4,3,6848,D,C+,C-,D,C+,2843 Rubino Cir,Sang Kang,Palazzo Investment Group,1,3,1,0,0,3,5,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,2895000.0,3047.0,5,3,13673,D,C+,C-,D,C+,1931 Cherry Ave,Brenda Miller,Compass,1,3,1,1,0,3,9,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,1450000.0,1361.0,4,2,6848,D,C+,C-,D,C+,2082 Limewood Dr,Annie Culbertson,Real Estate Agent,1,3,1,2,1,3,5,No,No,No,No,Yes,No,CA,95132
San Jose,67,House ,1529000.0,1370.0,4,2,7221,D,C+,C-,D,C+,1408 Sprucewood Dr,Carol Jeans,Sereno,1,3,1,2,1,3,10,No,No,No,No,Yes,No,CA,95118
San Jose,67,House ,1499888.0,1486.0,3,2,7084,D,C+,C-,D,C+,989 Woodgrove Ln,Terry Kelly,Compass,1,3,1,1,1,3,3,No,No,No,No,Yes,No,CA,95136
San Jose,67,House ,989000.0,1572.0,4,2,4671,D,C+,C-,D,C+,709 Deboer Ln,Julia Cocchi,Real Estate Experts,1,2,1,3,1,3,6,No,No,No,No,Yes,No,CA,95111
San Jose,67,House ,1499000.0,2209.0,4,3,7080,D,C+,C-,D,C+,324 Marti Way,Astha Mathur,Compass,1,3,1,3,1,3,5,No,No,No,No,Yes,No,CA,95136
San Jose,67,House ,599999.0,1021.0,1,1,2834,D,C+,C-,D,C+,1159 Foxchase Dr,Colin Clancy,KW Bay Area Estates,1,2,1,2,1,3,5,No,No,No,Yes,Yes,No,CA,95123
San Jose,67,House ,568000.0,1156.0,2,2,2683,D,C+,C-,D,C+,3304 Shadow Park Pl,Rhonda Hansen,Compass,1,3,1,3,0,3,7,No,No,No,Yes,Yes,No,CA,95121
San Jose,67,House ,599888.0,1127.0,2,2,2833,D,C+,C-,D,C+,6083 Montgomery Ct,Olga Mintz,Intero Real Estate Services,1,1,1,3,0,3,4,No,No,No,Yes,Yes,No,CA,95135
San Jose,67,House ,629000.0,1012.0,2,2,2971,D,C+,C-,D,C+,255 Kenbrook Cir,Erika Carrasco,Intero Real Estate Services,1,3,1,1,1,2,0,No,No,No,Yes,No,No,CA,95111
San Jose,67,House ,838000.0,785.0,2,1,3958,D,C+,C-,D,C+,56 Viewmont Ave,Mark Gissler,Intero Real Estate Services,1,3,1,1,1,3,3,No,No,No,No,Yes,No,CA,95127
San Jose,67,House ,948888.0,1084.0,3,2,4481,D,C+,C-,D,C+,1702 Kyra Cir Cl,Nick Pham,PN Real Estate Group,1,3,1,3,1,3,0,No,No,No,No,No,No,CA,95122
